user_id,start_point_id,start_point_latitude,start_point_longitude,potential_group_members,group_id,group_size,distance
0000571b,7d023919-eff6-4390-a6f9-bd2436535daf,52.4514143310438,13.581928614596222,"0731ae18,54765212,aecbd646,ca351d1a,dcc9591b,e3db5360",a85c9c55-bef8-4caf-a4e3-3b9a42b412c0,7,0.25608887383266593
0001699f,3ed60464-dff4-4ba1-b402-b5b6b9a157ff,52.55559198966829,13.423446709312456,"006112de,37fd9dac,3f332270,6a338a04,7d3d1a2a,9cd0a1c5,aa21afd3,c1ec74fa,f26629f2",71724996-3b43-4b34-8a25-21ba99a823a9,10,0.09973911823249691
00060476,2df21c98-2ebb-4916-9afb-cf0300ec9878,52.48575449549819,13.30762790933188,"3a70c60a,8ee134f7,964cbd0a,99044c04,9c5999c1,a160ce1d,a2ea6672,a937e5ae,aeae65af,b3037028,c00daebc,c9949bab,cea41c93,e98e4e10,fe268946",d2a9425d-78a1-487c-85cc-1314ed0fe048,16,0.318432141945282
0006963f,b56c345e-20eb-4cb6-b285-1f13680ca9cf,52.72270377179086,13.266276430264677,"3ecb5bde,584730ed,5c90953d,5d5a649a,917d2d0f,c54ea22b,c7ba9839,cf7c7247,d3331f3b",9e567c41-57eb-44e9-a90a-16123b2074b5,10,0.5614136691585926
000e8618,33a69280-27a1-4007-b5dd-65f9463651ef,52.4696641156397,13.302379395581934,"1d240edc,46883943,617026aa,7b664621,c857284a",fbbb894c-f1c5-4d90-92b8-7130fe69f68c,6,0.2722978666998247
00100080,b43b8c61-0b93-45b8-b882-5f28e317dcc2,52.47936343194356,13.522398606310396,"1ad0864e,1bf0bccf,4a9dea82,774aceac,993ab7ea,d0d7f764,d692cdf9,da030a9e",f460f8ce-6bc0-48d7-b5a9-02b8583d861c,9,0.031204154088237356
0012a1d7,433aa713-daa6-4d96-8fb1-6ff615c4fa00,52.4458564369181,13.59520974134747,"3b66eb22,439202ec,4bb3c9c4,5f6759a4,8c747d14,8d14c0fa,8e76a93f,e38d62cd,eb13202c,f249eea5",cfc26927-417d-48f1-8be4-3842598262fe,11,0.11886662341506657
001ec939,d9149227-0f0d-4088-8d59-83c518800dfe,52.43799904802436,13.328047178246592,"03dbaea9,05851c4a,0dbc4bec,116a45f1,2ec816c5,3b00cb25,613d75d6,7fff765e,84f214a6,86116d08,8be260bb,af9052f7,cb905f93,d2a590b0,e976933d,eb66485e,fe5b4981",336ab5e1-815d-45e7-9306-d07da5be3630,18,0.20037445367905937
0023c61a,c368ce06-a442-43e7-a2ce-e2e0fce7f426,52.543174934006615,13.398988380513908,"0383dd1b,13362203,1a4f1952,1e8022a2,377eba6d,514be6c0,9c980c6f,b8639f65,d58e21d8,dbd038ab,de2493ab",80a19da6-b8fe-47ab-85ac-252a195ba365,12,0.16907353404429606
002679aa,8b9524de-014c-4acb-9b8f-f9edb5ce606c,52.40024576218898,13.047128187809822,"1ce075e2,639ede70,885a3451,909699a0,9c6b3fd5,9ef4a103,a0ac47fd,b4be3bd1,b859f4fb,bf5e7630,c93a55ed,ce4fdbd2,ebdb6a53",79ad695e-20bb-4ee1-b374-69b31cab2b91,14,0.07318652524865367
